recorded_name,exercise_id,canonical_name,variation,primary_muscle_group,resistance_type,exercise_kind,progression_metric,research_exercise_id,comparison_group,equipment_identity_status,notes
Lateral Raise (Cable),cable_lateral_raise,Cable Lateral Raise,attachment_and_side_unspecified,side_delts,external,isolation,rpe_adjusted_e1rm,ex_cable_lateral_raise,cable_lateral_raise,machine_unconfirmed,Small logged values are equipment-specific.
Leg Extension (Heavy),heavy_leg_extension,Leg Extension,heavy_variation,quadriceps,external,isolation,rpe_adjusted_e1rm,ex_leg_extension,leg_extension,machine_unconfirmed,Do not merge with standard machine variation.
Leg Extension (Machine),machine_leg_extension,Machine Leg Extension,standard,quadriceps,external,isolation,rpe_adjusted_e1rm,ex_leg_extension,leg_extension,machine_unconfirmed,Do not merge with heavy variation.
Leg Press,leg_press,Leg Press,machine_and_sled_unspecified,quadriceps,external,compound,rpe_adjusted_e1rm,ex_leg_press,leg_press,machine_unconfirmed,All comparisons remain within this recorded Strong name.
Lying Leg Curl (Machine),lying_leg_curl,Lying Leg Curl,machine,hamstrings,external,isolation,rpe_adjusted_e1rm,ex_lying_leg_curl,leg_curl,machine_unconfirmed,Distinct from seated curl.
Neck Curls (Back),harness_neck_extension,Harness Neck Extension,harness_or_recorded_back,neck_extensors,external,isolation,rpe_adjusted_e1rm,ex_neck_extension,neck_extension,variation_supported_by_context,User context favors harness extension.
Neck Curls (Front),neck_flexion,Neck Flexion,front,neck_flexors,bodyweight,bodyweight,repetitions,ex_neck_flexion,neck_flexion,load_not_meaningful,Many logged loads are zero.
Neck Curls (Side Light),lateral_neck_flexion_light,Lateral Neck Flexion,light,lateral_neck_musculature,bodyweight,bodyweight,repetitions,,lateral_neck_flexion,load_not_meaningful,Distinct light variation.
Neck Curls (Side),lateral_neck_flexion,Lateral Neck Flexion,standard,lateral_neck_musculature,external,isolation,rpe_adjusted_e1rm,,lateral_neck_flexion,load_convention_unclear,No matching research exercise.
Pallof Press,pallof_press,Pallof Press,cable_or_machine,obliques,external,isolation,rpe_adjusted_e1rm,ex_pallof_press,pallof_press,machine_unconfirmed,Anti-rotation movement.
Reverse Crunch,reverse_crunch,Reverse Crunch,bodyweight,abdominals,bodyweight,bodyweight,repetitions,,reverse_crunch,load_not_meaningful,No research exercise match.
Seated Leg Curl (Machine),seated_leg_curl,Seated Leg Curl,machine,hamstrings,external,isolation,rpe_adjusted_e1rm,ex_seated_leg_curl,leg_curl,machine_unconfirmed,Distinct from lying curl.
Side Plank Dips,side_plank_dips,Side Plank Dips,dynamic,obliques,bodyweight,bodyweight,repetitions,,side_plank,load_not_meaningful,Do not equate dynamic dips with an isometric side plank.
Standing Calf Raise (Machine),standing_machine_calf_raise,Standing Machine Calf Raise,machine,calves,external,isolation,rpe_adjusted_e1rm,ex_standing_calf_raise,standing_calf_raise,machine_unconfirmed,Machine-specific loading.
Stiff Leg Deadlift (Barbell),barbell_stiff_leg_deadlift,Barbell Stiff-Leg Deadlift,barbell_stiff_leg,hamstrings,external,compound,rpe_adjusted_e1rm,,barbell_hip_hinge,stable_name_only,Do not merge automatically with Romanian deadlift.
Straight Arm Pulldown,straight_arm_pulldown,Straight-Arm Pulldown,cable,lats,external,isolation,rpe_adjusted_e1rm,,straight_arm_pulldown,machine_unconfirmed,No matching research exercise.
Super High Row,super_high_row,Super High Row,path_and_grip_unspecified,upper_back,external,compound,rpe_adjusted_e1rm,,high_row,machine_unconfirmed,Path is insufficiently described for research crosswalk.
Tricep Pushdown - Dongles,triceps_pushdown_dongles,Cable Triceps Pushdown,dongle_attachments,triceps,external,isolation,rpe_adjusted_e1rm,ex_cable_pushdown,cable_pushdown,machine_unconfirmed,Attachment variation retained.
Triceps Extension (Cable),cable_triceps_extension,Cable Triceps Extension,path_unspecified,triceps,external,isolation,rpe_adjusted_e1rm,,cable_triceps_extension,path_unconfirmed,Do not assume overhead or pushdown path.
Triceps Pushdown (Cable - Straight Bar),triceps_pushdown_straight_bar,Cable Triceps Pushdown,straight_bar,triceps,external,isolation,rpe_adjusted_e1rm,ex_cable_pushdown,cable_pushdown,machine_unconfirmed,Attachment variation retained.
Woodchop (Band),band_woodchop,Band Woodchop,band,obliques,band,isolation,repetitions,,woodchop,band_level_not_load,Logged weight represents band level rather than pounds.
