exercise_progression_metric_map_id,exercise_id,metric,priority_rank,use_case,confidence_rating
epm_00057,ex_machine_shoulder_press,repetitions,3,supporting_context_or_tie_breaker,low
epm_00058,ex_machine_shoulder_press,rir,4,supporting_context_or_tie_breaker,low
epm_00059,ex_machine_shoulder_press,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00060,ex_machine_shoulder_press,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00061,ex_cable_lateral_raise,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00062,ex_cable_lateral_raise,load,2,supporting_context_or_tie_breaker,low
epm_00063,ex_cable_lateral_raise,repetitions,3,supporting_context_or_tie_breaker,low
epm_00064,ex_cable_lateral_raise,rir,4,supporting_context_or_tie_breaker,low
epm_00065,ex_cable_lateral_raise,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00066,ex_cable_lateral_raise,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00067,ex_dumbbell_lateral_raise,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00068,ex_dumbbell_lateral_raise,load,2,supporting_context_or_tie_breaker,low
epm_00069,ex_dumbbell_lateral_raise,repetitions,3,supporting_context_or_tie_breaker,low
epm_00070,ex_dumbbell_lateral_raise,rir,4,supporting_context_or_tie_breaker,low
epm_00071,ex_dumbbell_lateral_raise,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00072,ex_dumbbell_lateral_raise,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00073,ex_machine_lateral_raise,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00074,ex_machine_lateral_raise,load,2,supporting_context_or_tie_breaker,low
epm_00075,ex_machine_lateral_raise,repetitions,3,supporting_context_or_tie_breaker,low
epm_00076,ex_machine_lateral_raise,rir,4,supporting_context_or_tie_breaker,low
epm_00077,ex_machine_lateral_raise,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00078,ex_machine_lateral_raise,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00079,ex_pull_up,estimated_1rm_with_technique_gate,1,primary_progression_decision,moderate
epm_00080,ex_pull_up,load,2,supporting_context_or_tie_breaker,low
epm_00081,ex_pull_up,repetitions,3,supporting_context_or_tie_breaker,low
epm_00082,ex_pull_up,rir,4,supporting_context_or_tie_breaker,low
epm_00083,ex_pull_up,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00084,ex_pull_up,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00085,ex_chin_up,estimated_1rm_with_technique_gate,1,primary_progression_decision,moderate
epm_00086,ex_chin_up,load,2,supporting_context_or_tie_breaker,low
epm_00087,ex_chin_up,repetitions,3,supporting_context_or_tie_breaker,low
epm_00088,ex_chin_up,rir,4,supporting_context_or_tie_breaker,low
epm_00089,ex_chin_up,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00090,ex_chin_up,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00091,ex_lat_pulldown,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00092,ex_lat_pulldown,load,2,supporting_context_or_tie_breaker,low
epm_00093,ex_lat_pulldown,repetitions,3,supporting_context_or_tie_breaker,low
epm_00094,ex_lat_pulldown,rir,4,supporting_context_or_tie_breaker,low
epm_00095,ex_lat_pulldown,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00096,ex_lat_pulldown,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00097,ex_one_arm_cable_pulldown,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00098,ex_one_arm_cable_pulldown,load,2,supporting_context_or_tie_breaker,low
epm_00099,ex_one_arm_cable_pulldown,repetitions,3,supporting_context_or_tie_breaker,low
epm_00100,ex_one_arm_cable_pulldown,rir,4,supporting_context_or_tie_breaker,low
epm_00101,ex_one_arm_cable_pulldown,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00102,ex_one_arm_cable_pulldown,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00103,ex_chest_supported_row,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00104,ex_chest_supported_row,load,2,supporting_context_or_tie_breaker,low
epm_00105,ex_chest_supported_row,repetitions,3,supporting_context_or_tie_breaker,low
epm_00106,ex_chest_supported_row,rir,4,supporting_context_or_tie_breaker,low
epm_00107,ex_chest_supported_row,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00108,ex_chest_supported_row,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00109,ex_seated_cable_row,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00110,ex_seated_cable_row,load,2,supporting_context_or_tie_breaker,low
epm_00111,ex_seated_cable_row,repetitions,3,supporting_context_or_tie_breaker,low
epm_00112,ex_seated_cable_row,rir,4,supporting_context_or_tie_breaker,low
epm_00113,ex_seated_cable_row,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00114,ex_seated_cable_row,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00115,ex_dumbbell_row,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00116,ex_dumbbell_row,load,2,supporting_context_or_tie_breaker,low
epm_00117,ex_dumbbell_row,repetitions,3,supporting_context_or_tie_breaker,low
epm_00118,ex_dumbbell_row,rir,4,supporting_context_or_tie_breaker,low
epm_00119,ex_dumbbell_row,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00120,ex_dumbbell_row,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00121,ex_reverse_pec_deck,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00122,ex_reverse_pec_deck,load,2,supporting_context_or_tie_breaker,low
epm_00123,ex_reverse_pec_deck,repetitions,3,supporting_context_or_tie_breaker,low
epm_00124,ex_reverse_pec_deck,rir,4,supporting_context_or_tie_breaker,low
epm_00125,ex_reverse_pec_deck,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00126,ex_reverse_pec_deck,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00127,ex_cable_rear_delt_fly,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00128,ex_cable_rear_delt_fly,load,2,supporting_context_or_tie_breaker,low
epm_00129,ex_cable_rear_delt_fly,repetitions,3,supporting_context_or_tie_breaker,low
epm_00130,ex_cable_rear_delt_fly,rir,4,supporting_context_or_tie_breaker,low
epm_00131,ex_cable_rear_delt_fly,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00132,ex_cable_rear_delt_fly,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00133,ex_barbell_shrug,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00134,ex_barbell_shrug,load,2,supporting_context_or_tie_breaker,low
epm_00135,ex_barbell_shrug,repetitions,3,supporting_context_or_tie_breaker,low
epm_00136,ex_barbell_shrug,rir,4,supporting_context_or_tie_breaker,low
epm_00137,ex_barbell_shrug,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00138,ex_barbell_shrug,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00139,ex_dumbbell_shrug,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00140,ex_dumbbell_shrug,load,2,supporting_context_or_tie_breaker,low
epm_00141,ex_dumbbell_shrug,repetitions,3,supporting_context_or_tie_breaker,low
epm_00142,ex_dumbbell_shrug,rir,4,supporting_context_or_tie_breaker,low
epm_00143,ex_dumbbell_shrug,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00144,ex_dumbbell_shrug,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00145,ex_back_squat,estimated_1rm_with_technique_gate,1,primary_progression_decision,moderate
epm_00146,ex_back_squat,load,2,supporting_context_or_tie_breaker,low
epm_00147,ex_back_squat,repetitions,3,supporting_context_or_tie_breaker,low
epm_00148,ex_back_squat,rir,4,supporting_context_or_tie_breaker,low
epm_00149,ex_back_squat,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00150,ex_back_squat,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00151,ex_front_squat,estimated_1rm_with_technique_gate,1,primary_progression_decision,moderate
epm_00152,ex_front_squat,load,2,supporting_context_or_tie_breaker,low
epm_00153,ex_front_squat,repetitions,3,supporting_context_or_tie_breaker,low
epm_00154,ex_front_squat,rir,4,supporting_context_or_tie_breaker,low
epm_00155,ex_front_squat,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00156,ex_front_squat,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00157,ex_leg_press,estimated_1rm_with_technique_gate,1,primary_progression_decision,moderate
epm_00158,ex_leg_press,load,2,supporting_context_or_tie_breaker,low
epm_00159,ex_leg_press,repetitions,3,supporting_context_or_tie_breaker,low
epm_00160,ex_leg_press,rir,4,supporting_context_or_tie_breaker,low
epm_00161,ex_leg_press,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00162,ex_leg_press,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00163,ex_hack_squat,estimated_1rm_with_technique_gate,1,primary_progression_decision,moderate
epm_00164,ex_hack_squat,load,2,supporting_context_or_tie_breaker,low
epm_00165,ex_hack_squat,repetitions,3,supporting_context_or_tie_breaker,low
epm_00166,ex_hack_squat,rir,4,supporting_context_or_tie_breaker,low
epm_00167,ex_hack_squat,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00168,ex_hack_squat,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00169,ex_bulgarian_split_squat,estimated_1rm_with_technique_gate,1,primary_progression_decision,moderate
epm_00170,ex_bulgarian_split_squat,load,2,supporting_context_or_tie_breaker,low
epm_00171,ex_bulgarian_split_squat,repetitions,3,supporting_context_or_tie_breaker,low
epm_00172,ex_bulgarian_split_squat,rir,4,supporting_context_or_tie_breaker,low
epm_00173,ex_bulgarian_split_squat,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00174,ex_bulgarian_split_squat,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00175,ex_leg_extension,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00176,ex_leg_extension,load,2,supporting_context_or_tie_breaker,low
epm_00177,ex_leg_extension,repetitions,3,supporting_context_or_tie_breaker,low
epm_00178,ex_leg_extension,rir,4,supporting_context_or_tie_breaker,low
epm_00179,ex_leg_extension,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00180,ex_leg_extension,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00181,ex_deadlift,estimated_1rm_with_technique_gate,1,primary_progression_decision,moderate
epm_00182,ex_deadlift,load,2,supporting_context_or_tie_breaker,low
epm_00183,ex_deadlift,repetitions,3,supporting_context_or_tie_breaker,low
epm_00184,ex_deadlift,rir,4,supporting_context_or_tie_breaker,low
epm_00185,ex_deadlift,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00186,ex_deadlift,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00187,ex_romanian_deadlift,estimated_1rm_with_technique_gate,1,primary_progression_decision,moderate
epm_00188,ex_romanian_deadlift,load,2,supporting_context_or_tie_breaker,low
epm_00189,ex_romanian_deadlift,repetitions,3,supporting_context_or_tie_breaker,low
epm_00190,ex_romanian_deadlift,rir,4,supporting_context_or_tie_breaker,low
epm_00191,ex_romanian_deadlift,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00192,ex_romanian_deadlift,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00193,ex_good_morning,estimated_1rm_with_technique_gate,1,primary_progression_decision,moderate
epm_00194,ex_good_morning,load,2,supporting_context_or_tie_breaker,low
epm_00195,ex_good_morning,repetitions,3,supporting_context_or_tie_breaker,low
epm_00196,ex_good_morning,rir,4,supporting_context_or_tie_breaker,low
epm_00197,ex_good_morning,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00198,ex_good_morning,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00199,ex_hip_thrust,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00200,ex_hip_thrust,load,2,supporting_context_or_tie_breaker,low
epm_00201,ex_hip_thrust,repetitions,3,supporting_context_or_tie_breaker,low
epm_00202,ex_hip_thrust,rir,4,supporting_context_or_tie_breaker,low
epm_00203,ex_hip_thrust,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00204,ex_hip_thrust,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00205,ex_back_extension,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00206,ex_back_extension,load,2,supporting_context_or_tie_breaker,low
epm_00207,ex_back_extension,repetitions,3,supporting_context_or_tie_breaker,low
epm_00208,ex_back_extension,rir,4,supporting_context_or_tie_breaker,low
epm_00209,ex_back_extension,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00210,ex_back_extension,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00211,ex_seated_leg_curl,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00212,ex_seated_leg_curl,load,2,supporting_context_or_tie_breaker,low
epm_00213,ex_seated_leg_curl,repetitions,3,supporting_context_or_tie_breaker,low
epm_00214,ex_seated_leg_curl,rir,4,supporting_context_or_tie_breaker,low
epm_00215,ex_seated_leg_curl,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00216,ex_seated_leg_curl,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00217,ex_lying_leg_curl,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00218,ex_lying_leg_curl,load,2,supporting_context_or_tie_breaker,low
epm_00219,ex_lying_leg_curl,repetitions,3,supporting_context_or_tie_breaker,low
epm_00220,ex_lying_leg_curl,rir,4,supporting_context_or_tie_breaker,low
epm_00221,ex_lying_leg_curl,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00222,ex_lying_leg_curl,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00223,ex_nordic_curl,estimated_1rm_with_technique_gate,1,primary_progression_decision,moderate
epm_00224,ex_nordic_curl,load,2,supporting_context_or_tie_breaker,low
epm_00225,ex_nordic_curl,repetitions,3,supporting_context_or_tie_breaker,low
epm_00226,ex_nordic_curl,rir,4,supporting_context_or_tie_breaker,low
epm_00227,ex_nordic_curl,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00228,ex_nordic_curl,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00229,ex_hip_adduction_machine,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00230,ex_hip_adduction_machine,load,2,supporting_context_or_tie_breaker,low
epm_00231,ex_hip_adduction_machine,repetitions,3,supporting_context_or_tie_breaker,low
epm_00232,ex_hip_adduction_machine,rir,4,supporting_context_or_tie_breaker,low
epm_00233,ex_hip_adduction_machine,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00234,ex_hip_adduction_machine,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00235,ex_hip_abduction_machine,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00236,ex_hip_abduction_machine,load,2,supporting_context_or_tie_breaker,low
epm_00237,ex_hip_abduction_machine,repetitions,3,supporting_context_or_tie_breaker,low
epm_00238,ex_hip_abduction_machine,rir,4,supporting_context_or_tie_breaker,low
epm_00239,ex_hip_abduction_machine,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00240,ex_hip_abduction_machine,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00241,ex_cable_hip_abduction,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00242,ex_cable_hip_abduction,load,2,supporting_context_or_tie_breaker,low
epm_00243,ex_cable_hip_abduction,repetitions,3,supporting_context_or_tie_breaker,low
epm_00244,ex_cable_hip_abduction,rir,4,supporting_context_or_tie_breaker,low
epm_00245,ex_cable_hip_abduction,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00246,ex_cable_hip_abduction,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00247,ex_standing_calf_raise,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00248,ex_standing_calf_raise,load,2,supporting_context_or_tie_breaker,low
epm_00249,ex_standing_calf_raise,repetitions,3,supporting_context_or_tie_breaker,low
epm_00250,ex_standing_calf_raise,rir,4,supporting_context_or_tie_breaker,low
epm_00251,ex_standing_calf_raise,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00252,ex_standing_calf_raise,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00253,ex_seated_calf_raise,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00254,ex_seated_calf_raise,load,2,supporting_context_or_tie_breaker,low
epm_00255,ex_seated_calf_raise,repetitions,3,supporting_context_or_tie_breaker,low
epm_00256,ex_seated_calf_raise,rir,4,supporting_context_or_tie_breaker,low
epm_00257,ex_seated_calf_raise,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00258,ex_seated_calf_raise,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00259,ex_leg_press_calf_raise,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00260,ex_leg_press_calf_raise,load,2,supporting_context_or_tie_breaker,low
epm_00261,ex_leg_press_calf_raise,repetitions,3,supporting_context_or_tie_breaker,low
epm_00262,ex_leg_press_calf_raise,rir,4,supporting_context_or_tie_breaker,low
epm_00263,ex_leg_press_calf_raise,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00264,ex_leg_press_calf_raise,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00265,ex_incline_dumbbell_curl,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00266,ex_incline_dumbbell_curl,load,2,supporting_context_or_tie_breaker,low
epm_00267,ex_incline_dumbbell_curl,repetitions,3,supporting_context_or_tie_breaker,low
epm_00268,ex_incline_dumbbell_curl,rir,4,supporting_context_or_tie_breaker,low
epm_00269,ex_incline_dumbbell_curl,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00270,ex_incline_dumbbell_curl,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00271,ex_preacher_curl,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00272,ex_preacher_curl,load,2,supporting_context_or_tie_breaker,low
epm_00273,ex_preacher_curl,repetitions,3,supporting_context_or_tie_breaker,low
epm_00274,ex_preacher_curl,rir,4,supporting_context_or_tie_breaker,low
epm_00275,ex_preacher_curl,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00276,ex_preacher_curl,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00277,ex_cable_curl,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00278,ex_cable_curl,load,2,supporting_context_or_tie_breaker,low
epm_00279,ex_cable_curl,repetitions,3,supporting_context_or_tie_breaker,low
epm_00280,ex_cable_curl,rir,4,supporting_context_or_tie_breaker,low
epm_00281,ex_cable_curl,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00282,ex_cable_curl,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00283,ex_hammer_curl,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00284,ex_hammer_curl,load,2,supporting_context_or_tie_breaker,low
epm_00285,ex_hammer_curl,repetitions,3,supporting_context_or_tie_breaker,low
epm_00286,ex_hammer_curl,rir,4,supporting_context_or_tie_breaker,low
epm_00287,ex_hammer_curl,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00288,ex_hammer_curl,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00289,ex_cable_pushdown,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00290,ex_cable_pushdown,load,2,supporting_context_or_tie_breaker,low
epm_00291,ex_cable_pushdown,repetitions,3,supporting_context_or_tie_breaker,low
epm_00292,ex_cable_pushdown,rir,4,supporting_context_or_tie_breaker,low
epm_00293,ex_cable_pushdown,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00294,ex_cable_pushdown,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00295,ex_overhead_cable_extension,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00296,ex_overhead_cable_extension,load,2,supporting_context_or_tie_breaker,low
epm_00297,ex_overhead_cable_extension,repetitions,3,supporting_context_or_tie_breaker,low
epm_00298,ex_overhead_cable_extension,rir,4,supporting_context_or_tie_breaker,low
epm_00299,ex_overhead_cable_extension,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00300,ex_overhead_cable_extension,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00301,ex_close_grip_bench_press,estimated_1rm_with_technique_gate,1,primary_progression_decision,moderate
epm_00302,ex_close_grip_bench_press,load,2,supporting_context_or_tie_breaker,low
epm_00303,ex_close_grip_bench_press,repetitions,3,supporting_context_or_tie_breaker,low
epm_00304,ex_close_grip_bench_press,rir,4,supporting_context_or_tie_breaker,low
epm_00305,ex_close_grip_bench_press,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00306,ex_close_grip_bench_press,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00307,ex_wrist_curl,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00308,ex_wrist_curl,load,2,supporting_context_or_tie_breaker,low
epm_00309,ex_wrist_curl,repetitions,3,supporting_context_or_tie_breaker,low
epm_00310,ex_wrist_curl,rir,4,supporting_context_or_tie_breaker,low
epm_00311,ex_wrist_curl,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00312,ex_wrist_curl,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00313,ex_reverse_wrist_curl,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00314,ex_reverse_wrist_curl,load,2,supporting_context_or_tie_breaker,low
epm_00315,ex_reverse_wrist_curl,repetitions,3,supporting_context_or_tie_breaker,low
epm_00316,ex_reverse_wrist_curl,rir,4,supporting_context_or_tie_breaker,low
epm_00317,ex_reverse_wrist_curl,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00318,ex_reverse_wrist_curl,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00319,ex_farmers_carry,load_distance_quality,1,primary_progression_decision,moderate
epm_00320,ex_farmers_carry,load,2,supporting_context_or_tie_breaker,low
epm_00321,ex_farmers_carry,repetitions,3,supporting_context_or_tie_breaker,low
epm_00322,ex_farmers_carry,rir,4,supporting_context_or_tie_breaker,low
epm_00323,ex_farmers_carry,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00324,ex_farmers_carry,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00325,ex_cable_crunch,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00326,ex_cable_crunch,load,2,supporting_context_or_tie_breaker,low
epm_00327,ex_cable_crunch,repetitions,3,supporting_context_or_tie_breaker,low
epm_00328,ex_cable_crunch,rir,4,supporting_context_or_tie_breaker,low
epm_00329,ex_cable_crunch,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00330,ex_cable_crunch,technique_quality,6,supporting_context_or_tie_breaker,low
