exercise_substitution_map_id,exercise_id,substitute_exercise_id,substitution_similarity,reason,confidence_rating
esm_0014,ex_machine_chest_press,ex_dumbbell_bench_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0015,ex_incline_machine_press,ex_incline_dumbbell_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0016,ex_incline_machine_press,ex_low_to_high_cable_fly,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0017,ex_cable_fly,ex_barbell_bench_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0018,ex_cable_fly,ex_cambered_barbell_bench_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0019,ex_cable_fly,ex_dumbbell_bench_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0020,ex_low_to_high_cable_fly,ex_incline_dumbbell_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0021,ex_low_to_high_cable_fly,ex_incline_machine_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0022,ex_overhead_press,ex_machine_shoulder_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0023,ex_machine_shoulder_press,ex_overhead_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0024,ex_cable_lateral_raise,ex_dumbbell_lateral_raise,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0025,ex_cable_lateral_raise,ex_machine_lateral_raise,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0026,ex_dumbbell_lateral_raise,ex_cable_lateral_raise,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0027,ex_dumbbell_lateral_raise,ex_machine_lateral_raise,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0028,ex_machine_lateral_raise,ex_cable_lateral_raise,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0029,ex_machine_lateral_raise,ex_dumbbell_lateral_raise,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0030,ex_pull_up,ex_chin_up,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0031,ex_pull_up,ex_lat_pulldown,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0032,ex_pull_up,ex_one_arm_cable_pulldown,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0033,ex_chin_up,ex_pull_up,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0034,ex_chin_up,ex_lat_pulldown,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0035,ex_chin_up,ex_one_arm_cable_pulldown,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0036,ex_lat_pulldown,ex_pull_up,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0037,ex_lat_pulldown,ex_chin_up,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0038,ex_lat_pulldown,ex_one_arm_cable_pulldown,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0039,ex_one_arm_cable_pulldown,ex_pull_up,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0040,ex_one_arm_cable_pulldown,ex_chin_up,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0041,ex_one_arm_cable_pulldown,ex_lat_pulldown,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0042,ex_chest_supported_row,ex_seated_cable_row,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0043,ex_seated_cable_row,ex_chest_supported_row,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0044,ex_reverse_pec_deck,ex_cable_rear_delt_fly,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0045,ex_cable_rear_delt_fly,ex_reverse_pec_deck,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0046,ex_barbell_shrug,ex_dumbbell_shrug,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0047,ex_dumbbell_shrug,ex_barbell_shrug,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0048,ex_back_squat,ex_front_squat,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0049,ex_back_squat,ex_leg_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0050,ex_back_squat,ex_hack_squat,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0051,ex_front_squat,ex_back_squat,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0052,ex_front_squat,ex_leg_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0053,ex_front_squat,ex_hack_squat,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0054,ex_leg_press,ex_back_squat,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0055,ex_leg_press,ex_front_squat,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0056,ex_leg_press,ex_hack_squat,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0057,ex_hack_squat,ex_back_squat,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0058,ex_hack_squat,ex_front_squat,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0059,ex_hack_squat,ex_leg_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0060,ex_deadlift,ex_good_morning,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0061,ex_deadlift,ex_back_extension,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0062,ex_good_morning,ex_deadlift,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0063,ex_good_morning,ex_back_extension,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0064,ex_back_extension,ex_deadlift,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0065,ex_back_extension,ex_good_morning,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0066,ex_seated_leg_curl,ex_lying_leg_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0067,ex_seated_leg_curl,ex_nordic_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0068,ex_lying_leg_curl,ex_seated_leg_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0069,ex_lying_leg_curl,ex_nordic_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0070,ex_nordic_curl,ex_seated_leg_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0071,ex_nordic_curl,ex_lying_leg_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0072,ex_hip_abduction_machine,ex_cable_hip_abduction,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0073,ex_cable_hip_abduction,ex_hip_abduction_machine,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0074,ex_standing_calf_raise,ex_leg_press_calf_raise,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0075,ex_leg_press_calf_raise,ex_standing_calf_raise,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0076,ex_incline_dumbbell_curl,ex_preacher_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0077,ex_incline_dumbbell_curl,ex_cable_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0078,ex_incline_dumbbell_curl,ex_hammer_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0079,ex_preacher_curl,ex_incline_dumbbell_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0080,ex_preacher_curl,ex_cable_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0081,ex_preacher_curl,ex_hammer_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0082,ex_cable_curl,ex_incline_dumbbell_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0083,ex_cable_curl,ex_preacher_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0084,ex_cable_curl,ex_hammer_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0085,ex_hammer_curl,ex_incline_dumbbell_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0086,ex_hammer_curl,ex_preacher_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0087,ex_hammer_curl,ex_cable_curl,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0088,ex_cable_pushdown,ex_overhead_cable_extension,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0089,ex_overhead_cable_extension,ex_cable_pushdown,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0090,ex_cable_crunch,ex_hanging_leg_raise,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0091,ex_hanging_leg_raise,ex_cable_crunch,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0092,ex_pallof_press,ex_side_plank,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0093,ex_side_plank,ex_pallof_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
