exercise_id,exercise_name,exercise_aliases,movement_pattern,equipment,primary_muscles,secondary_muscles,stabilizing_muscles,muscle_subdivisions_emphasized,stability_demand,skill_requirement,systemic_fatigue_cost,local_fatigue_cost,joint_stress_considerations,recommended_rep_range_low,recommended_rep_range_high,acceptable_rep_range_low,acceptable_rep_range_high,recommended_sets_per_session_low,recommended_sets_per_session_high,weekly_set_contribution,recommended_rir_low,recommended_rir_high,recommended_rest_seconds_low,recommended_rest_seconds_high,preferred_progression_model,load_increase_criteria,rep_increase_criteria,set_increase_criteria,regression_criteria,deload_criteria,technique_quality_criteria,range_of_motion_criteria,primary_progression_metric,secondary_progression_metrics,normal_performance_variability,stall_definition,substitution_triggers,suggested_substitutions,top_set_backoff_suitability,recommended_load_increment,recommended_evaluation_window_sessions,cutting_adjustment,bulking_adjustment,direct_exercise_evidence,evidence_quality,confidence_rating,supporting_study_ids,notes
ex_dumbbell_lateral_raise,Dumbbell Lateral Raise,db lateral raise,shoulder_abduction,dumbbell,mg_side_delts,,local_joint_stabilizers,mg_side_delts,low,low,,moderate,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",12,25,10,35,2,6,1.0 to mg_side_delts; 0.5 default to clearly loaded secondary muscles,0,3,60,150,rep_first,All prescribed sets at 25 reps with target RIR and standardized execution for 1 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,usually_unnecessary_but_permissible,"smallest available increment, preferably <=5%",2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_machine_lateral_raise,Machine Lateral Raise,lateral raise machine,shoulder_abduction,machine,mg_side_delts,,local_joint_stabilizers,mg_side_delts,low,low,,moderate,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",10,25,8,30,2,6,1.0 to mg_side_delts; 0.5 default to clearly loaded secondary muscles,0,3,60,150,dynamic_double_progression,All prescribed sets at 25 reps with target RIR and standardized execution for 1 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,usually_unnecessary_but_permissible,"smallest available increment, preferably <=5%",2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_pull_up,Pull-Up,pullup,vertical_pull,bodyweight_or_belt,mg_lats,mg_biceps|mg_upper_back,trunk_and_joint_specific_stabilizers,mg_lats,high,high,,high,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",5,12,3,20,2,5,1.0 to mg_lats; 0.5 default to clearly loaded secondary muscles,1,4,120,300,rep_then_added_load,All prescribed sets at 12 reps with target RIR and standardized execution for 2 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,estimated_1rm_with_technique_gate,load|repetitions|rir|range_of_motion|technique_quality,Treat approximately 2-5% e1RM or one rep as possible session noise; use multiple sessions.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,appropriate,1-5% or smallest practical increment,2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,moderate,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_chin_up,Chin-Up,chinup,vertical_pull,bodyweight_or_belt,mg_lats,mg_biceps|mg_upper_back,trunk_and_joint_specific_stabilizers,mg_lats,high,high,,high,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",5,12,3,20,2,5,1.0 to mg_lats; 0.5 default to clearly loaded secondary muscles,1,4,120,300,rep_then_added_load,All prescribed sets at 12 reps with target RIR and standardized execution for 2 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,estimated_1rm_with_technique_gate,load|repetitions|rir|range_of_motion|technique_quality,Treat approximately 2-5% e1RM or one rep as possible session noise; use multiple sessions.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,appropriate,1-5% or smallest practical increment,2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,moderate,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_lat_pulldown,Lat Pulldown,cable pulldown,vertical_pull,cable_machine,mg_lats,mg_biceps|mg_upper_back,trunk_and_joint_specific_stabilizers,mg_lats,moderate,moderate,,high,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",8,15,6,20,2,5,1.0 to mg_lats; 0.5 default to clearly loaded secondary muscles,0,3,90,210,dynamic_double_progression,All prescribed sets at 15 reps with target RIR and standardized execution for 1 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,appropriate,1-5% or smallest practical increment,2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_one_arm_cable_pulldown,One-Arm Cable Pulldown,unilateral pulldown,vertical_pull,cable,mg_lats,mg_biceps,trunk_and_joint_specific_stabilizers,mg_lats,low,low,,high,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",8,15,6,20,2,5,1.0 to mg_lats; 0.5 default to clearly loaded secondary muscles,0,3,75,180,dynamic_double_progression,All prescribed sets at 15 reps with target RIR and standardized execution for 1 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,appropriate,1-5% or smallest practical increment,2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_chest_supported_row,Chest-Supported Row,chest supported dumbbell row,horizontal_pull,dumbbell_or_machine,mg_upper_back,mg_lats|mg_biceps|mg_rear_delts,trunk_and_joint_specific_stabilizers,mg_upper_back,moderate,moderate,,high,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",6,15,5,20,2,5,1.0 to mg_upper_back; 0.5 default to clearly loaded secondary muscles,0,3,90,240,double_progression,All prescribed sets at 15 reps with target RIR and standardized execution for 2 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,appropriate,1-5% or smallest practical increment,2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_seated_cable_row,Seated Cable Row,cable row,horizontal_pull,cable,mg_upper_back,mg_lats|mg_biceps|mg_rear_delts,trunk_and_joint_specific_stabilizers,mg_upper_back,moderate,moderate,,high,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",8,15,6,20,2,5,1.0 to mg_upper_back; 0.5 default to clearly loaded secondary muscles,0,3,90,210,dynamic_double_progression,All prescribed sets at 15 reps with target RIR and standardized execution for 1 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,appropriate,1-5% or smallest practical increment,2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_dumbbell_row,One-Arm Dumbbell Row,db row,horizontal_pull,dumbbell_and_bench,mg_lats,mg_upper_back|mg_biceps|mg_rear_delts,trunk_and_joint_specific_stabilizers,mg_lats,moderate,moderate,,high,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",6,15,5,20,2,5,1.0 to mg_lats; 0.5 default to clearly loaded secondary muscles,0,3,90,240,double_progression,All prescribed sets at 15 reps with target RIR and standardized execution for 2 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,appropriate,1-5% or smallest practical increment,2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_reverse_pec_deck,Reverse Pec Deck,rear delt machine fly,shoulder_horizontal_abduction,machine,mg_rear_delts,mg_upper_back,local_joint_stabilizers,mg_rear_delts,low,low,,moderate,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",10,25,8,30,2,6,1.0 to mg_rear_delts; 0.5 default to clearly loaded secondary muscles,0,3,60,150,rep_first,All prescribed sets at 25 reps with target RIR and standardized execution for 1 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,usually_unnecessary_but_permissible,"smallest available increment, preferably <=5%",2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_cable_rear_delt_fly,Cable Rear-Delt Fly,cable reverse fly,shoulder_horizontal_abduction,cable,mg_rear_delts,mg_upper_back,local_joint_stabilizers,mg_rear_delts,low,low,,moderate,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",12,25,10,35,2,6,1.0 to mg_rear_delts; 0.5 default to clearly loaded secondary muscles,0,3,60,150,rep_first,All prescribed sets at 25 reps with target RIR and standardized execution for 1 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,usually_unnecessary_but_permissible,"smallest available increment, preferably <=5%",2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_barbell_shrug,Barbell Shrug,shrug,scapular_elevation,barbell,mg_traps_upper,mg_forearms,local_joint_stabilizers,mg_traps_upper,moderate,moderate,,moderate,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",6,15,5,20,2,6,1.0 to mg_traps_upper; 0.5 default to clearly loaded secondary muscles,0,3,90,210,double_progression,All prescribed sets at 15 reps with target RIR and standardized execution for 2 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,usually_unnecessary_but_permissible,"smallest available increment, preferably <=5%",2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_dumbbell_shrug,Dumbbell Shrug,db shrug,scapular_elevation,dumbbell,mg_traps_upper,mg_forearms,local_joint_stabilizers,mg_traps_upper,moderate,moderate,,moderate,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",8,20,6,25,2,6,1.0 to mg_traps_upper; 0.5 default to clearly loaded secondary muscles,0,3,75,180,double_progression,All prescribed sets at 20 reps with target RIR and standardized execution for 2 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,usually_unnecessary_but_permissible,"smallest available increment, preferably <=5%",2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_back_squat,Back Squat,barbell squat,squat,barbell_and_rack,mg_quadriceps,mg_glutes_max|mg_spinal_erectors|mg_adductors,trunk_and_joint_specific_stabilizers,mg_quadriceps,high,high,,high,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",5,10,3,15,2,5,1.0 to mg_quadriceps; 0.5 default to clearly loaded secondary muscles,1,4,180,300,load_then_reps,All prescribed sets at 10 reps with target RIR and standardized execution for 3 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 3 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,estimated_1rm_with_technique_gate,load|repetitions|rir|range_of_motion|technique_quality,Treat approximately 2-5% e1RM or one rep as possible session noise; use multiple sessions.,"No improvement in reps, load, RIR, ROM, or execution across 4 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,appropriate,1-5% or smallest practical increment,3,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,moderate,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_front_squat,Front Squat,barbell front squat,squat,barbell_and_rack,mg_quadriceps,mg_glutes_max|mg_spinal_erectors,trunk_and_joint_specific_stabilizers,mg_quadriceps,high,high,,high,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",5,10,3,15,2,5,1.0 to mg_quadriceps; 0.5 default to clearly loaded secondary muscles,1,4,180,300,load_then_reps,All prescribed sets at 10 reps with target RIR and standardized execution for 3 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 3 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,estimated_1rm_with_technique_gate,load|repetitions|rir|range_of_motion|technique_quality,Treat approximately 2-5% e1RM or one rep as possible session noise; use multiple sessions.,"No improvement in reps, load, RIR, ROM, or execution across 4 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,appropriate,1-5% or smallest practical increment,3,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,moderate,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
