exercise_muscle_map_id,exercise_id,muscle_group_id,programming_family_id,relationship_type,loading_role,range_of_motion_role,fractional_set_credit,local_fatigue_weight,evidence_basis,evidence_notes,supporting_study_ids,confidence_rating,review_status,taxonomy_version,last_reviewed_date
emm_0011,ex_incline_dumbbell_press,mg_chest_sternal,chest,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0012,ex_incline_dumbbell_press,mg_triceps,triceps,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0013,ex_incline_dumbbell_press,mg_front_delts,front_delts,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0014,ex_machine_chest_press,mg_chest_sternal,chest,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0015,ex_machine_chest_press,mg_triceps,triceps,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0016,ex_machine_chest_press,mg_front_delts,front_delts,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0017,ex_incline_machine_press,mg_chest_clavicular,chest,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0018,ex_incline_machine_press,mg_chest_sternal,chest,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0019,ex_incline_machine_press,mg_triceps,triceps,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0020,ex_incline_machine_press,mg_front_delts,front_delts,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0021,ex_cable_fly,mg_chest_sternal,chest,direct_load,dynamic,meaningful,1,1,declared_target_plus_anatomy_and_movement_pattern_review,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0022,ex_low_to_high_cable_fly,mg_chest_clavicular,chest,direct_load,dynamic,meaningful,1,1,declared_target_plus_anatomy_and_movement_pattern_review,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0023,ex_low_to_high_cable_fly,mg_front_delts,front_delts,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,declared_secondary_plus_anatomy_and_movement_pattern_review,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,low,reviewed,2.1.0,2026-07-12
emm_0024,ex_overhead_press,mg_front_delts,front_delts,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0025,ex_overhead_press,mg_triceps,triceps,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0026,ex_overhead_press,mg_side_delts,side_delts,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0027,ex_overhead_press,mg_traps_upper,traps,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0028,ex_overhead_press,mg_spinal_erectors,spinal_erectors,isometric_stabilizing_load,isometric,none_isometric,0,0.35,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0029,ex_machine_shoulder_press,mg_front_delts,front_delts,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0030,ex_machine_shoulder_press,mg_triceps,triceps,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0031,ex_machine_shoulder_press,mg_side_delts,side_delts,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0032,ex_cable_lateral_raise,mg_side_delts,side_delts,direct_load,dynamic,meaningful,1,1,declared_target_plus_anatomy_and_movement_pattern_review,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0033,ex_dumbbell_lateral_raise,mg_side_delts,side_delts,direct_load,dynamic,meaningful,1,1,declared_target_plus_anatomy_and_movement_pattern_review,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0034,ex_machine_lateral_raise,mg_side_delts,side_delts,direct_load,dynamic,meaningful,1,1,declared_target_plus_anatomy_and_movement_pattern_review,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0035,ex_pull_up,mg_lats,lats,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0036,ex_pull_up,mg_biceps,biceps,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0037,ex_pull_up,mg_upper_back,upper_back,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0038,ex_pull_up,mg_forearms,forearms,isometric_stabilizing_load,isometric,none_isometric,0,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0039,ex_chin_up,mg_lats,lats,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0040,ex_chin_up,mg_biceps,biceps,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0041,ex_chin_up,mg_upper_back,upper_back,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0042,ex_chin_up,mg_forearms,forearms,isometric_stabilizing_load,isometric,none_isometric,0,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0043,ex_lat_pulldown,mg_lats,lats,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0044,ex_lat_pulldown,mg_biceps,biceps,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0045,ex_lat_pulldown,mg_upper_back,upper_back,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0046,ex_one_arm_cable_pulldown,mg_lats,lats,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0047,ex_one_arm_cable_pulldown,mg_biceps,biceps,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0048,ex_chest_supported_row,mg_upper_back,upper_back,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0049,ex_chest_supported_row,mg_lats,lats,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0050,ex_chest_supported_row,mg_biceps,biceps,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0051,ex_chest_supported_row,mg_rear_delts,rear_delts,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0052,ex_seated_cable_row,mg_upper_back,upper_back,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0053,ex_seated_cable_row,mg_lats,lats,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0054,ex_seated_cable_row,mg_biceps,biceps,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0055,ex_seated_cable_row,mg_rear_delts,rear_delts,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0056,ex_dumbbell_row,mg_lats,lats,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0057,ex_dumbbell_row,mg_upper_back,upper_back,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0058,ex_dumbbell_row,mg_biceps,biceps,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0059,ex_dumbbell_row,mg_rear_delts,rear_delts,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0060,ex_dumbbell_row,mg_spinal_erectors,spinal_erectors,isometric_stabilizing_load,isometric,none_isometric,0,0.35,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0061,ex_reverse_pec_deck,mg_rear_delts,rear_delts,direct_load,dynamic,meaningful,1,1,declared_target_plus_anatomy_and_movement_pattern_review,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0062,ex_reverse_pec_deck,mg_upper_back,upper_back,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,declared_secondary_plus_anatomy_and_movement_pattern_review,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,low,reviewed,2.1.0,2026-07-12
emm_0063,ex_cable_rear_delt_fly,mg_rear_delts,rear_delts,direct_load,dynamic,meaningful,1,1,declared_target_plus_anatomy_and_movement_pattern_review,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0064,ex_cable_rear_delt_fly,mg_upper_back,upper_back,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,declared_secondary_plus_anatomy_and_movement_pattern_review,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,low,reviewed,2.1.0,2026-07-12
emm_0065,ex_barbell_shrug,mg_traps_upper,traps,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0066,ex_barbell_shrug,mg_forearms,forearms,isometric_stabilizing_load,isometric,none_isometric,0,0.6,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0067,ex_dumbbell_shrug,mg_traps_upper,traps,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0068,ex_dumbbell_shrug,mg_forearms,forearms,isometric_stabilizing_load,isometric,none_isometric,0,0.6,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0069,ex_back_squat,mg_quadriceps,quads,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0070,ex_back_squat,mg_glutes_max,glutes,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0071,ex_back_squat,mg_adductors,adductors,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0072,ex_back_squat,mg_spinal_erectors,spinal_erectors,isometric_stabilizing_load,isometric,none_isometric,0,0.6,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0073,ex_front_squat,mg_quadriceps,quads,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0074,ex_front_squat,mg_glutes_max,glutes,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0075,ex_front_squat,mg_spinal_erectors,spinal_erectors,isometric_stabilizing_load,isometric,none_isometric,0,0.6,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0076,ex_leg_press,mg_quadriceps,quads,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0077,ex_leg_press,mg_glutes_max,glutes,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0078,ex_leg_press,mg_adductors,adductors,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0079,ex_hack_squat,mg_quadriceps,quads,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0080,ex_hack_squat,mg_glutes_max,glutes,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0081,ex_hack_squat,mg_adductors,adductors,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0082,ex_bulgarian_split_squat,mg_quadriceps,quads,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0083,ex_bulgarian_split_squat,mg_glutes_max,glutes,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0084,ex_bulgarian_split_squat,mg_adductors,adductors,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0085,ex_bulgarian_split_squat,mg_abductors,abductors,isometric_stabilizing_load,isometric,none_isometric,0,0.45,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0086,ex_leg_extension,mg_quadriceps,quads,direct_load,dynamic,meaningful,1,1,declared_target_plus_anatomy_and_movement_pattern_review,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0087,ex_deadlift,mg_glutes_max,glutes,direct_load,dynamic,meaningful,1,1,deadlift_joint_moments_and_anatomy,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0041|stu_0042,moderate,reviewed,2.1.0,2026-07-12
emm_0088,ex_deadlift,mg_quadriceps,quads,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,knee_extension_joint_moment_in_conventional_deadlift,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0041|stu_0042,moderate,reviewed,2.1.0,2026-07-12
emm_0089,ex_deadlift,mg_hamstrings,hamstrings,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,biarticular_hip_extension_with_limited_net_length_change,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0041|stu_0042,low,reviewed,2.1.0,2026-07-12
emm_0090,ex_deadlift,mg_adductors,adductors,meaningful_fractional_load,dynamic,meaningful,0.25,0.5,adductor_magnus_hip_extension_contribution,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,low,reviewed,2.1.0,2026-07-12
