conclusion_id,topic,research_question,male_population,training_status,nutrition_context,conclusion,recommended_lower_bound,recommended_upper_bound,recommended_unit,practical_range_text,supporting_study_ids,conflicting_study_ids,direct_or_indirect_evidence,evidence_strength,confidence_rating,key_limitations,application_rule,exceptions,last_reviewed_date
con_0011,muscle_length,Does training at long muscle lengths improve hypertrophy?,healthy young adult males,all,all,"Including exercises or ranges that load a muscle at relatively long lengths is reasonable, but the average advantage appears small and muscle-specific.",,,,No defensible universal numeric range,stu_0012|stu_0013,stu_0013,mixed,moderate,moderate,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,"Including exercises or ranges that load a muscle at relatively long lengths is reasonable, but the average advantage appears small and muscle-specific.","Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0012,exercise_order,Which exercises should be performed first?,healthy adult natural males,all,all,"Place the highest-priority exercise or muscle earlier; hypertrophy appears similar across broad order strategies, while exercise-specific strength favors earlier placement.",,,,No defensible universal numeric range,stu_0009,,mixed,moderate,moderate,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,"Place the highest-priority exercise or muscle earlier; hypertrophy appears similar across broad order strategies, while exercise-specific strength favors earlier placement.","Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0013,equipment,Are machines or free weights superior for hypertrophy?,healthy adult natural males,all,all,"Neither mode is inherently superior for hypertrophy; select for target-muscle loading, comfort, skill, stability, progression resolution, and transfer goals.",,,,No defensible universal numeric range,stu_0010,,mixed,high,high,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,"Neither mode is inherently superior for hypertrophy; select for target-muscle loading, comfort, skill, stability, progression resolution, and transfer goals.","Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0014,periodization,Does periodization improve hypertrophy?,healthy adult natural males,all,all,"Varying load can support fatigue management and strength, but periodization has not clearly improved hypertrophy when volume is equated.",,,,No defensible universal numeric range,stu_0015,,mixed,moderate,moderate,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,"Varying load can support fatigue management and strength, but periodization has not clearly improved hypertrophy when volume is equated.","Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0015,progression,What counts as progression?,healthy adult natural males,all,all,"Progression includes more repetitions or load with comparable execution and effort, the same performance at lower effort, or improved range and control at comparable load.",,,,No defensible universal numeric range,stu_0029|stu_0030|stu_0031,,expert_inference,low,moderate,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,"Progression includes more repetitions or load with comparable execution and effort, the same performance at lower effort, or improved range and control at comparable load.","Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0016,progression,When should load increase?,healthy adult natural males,all,all,Increase load only after the prescribed sets reach the top of their range with target RIR and standardized technique across the exercise-specific confirmation window.,1,3,confirmation_sessions,1-3 confirmation_sessions,stu_0029|stu_0030|stu_0031,,expert_inference,low,moderate,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,Increase load only after the prescribed sets reach the top of their range with target RIR and standardized technique across the exercise-specific confirmation window.,"Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0017,maintenance,How much training is needed to maintain muscle?,previously trained adult natural males,all,all,"Muscle can often be maintained with substantially less volume than was used to build it if load/effort exposure is retained, but exact trained-male thresholds are unknown.",25,50,percent_of_recent_productive_volume,Operational default: retain roughly 25-50% of recent productive sets and at least one exposure weekly,stu_0027|stu_0028,,mixed,low,low,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,"Muscle can often be maintained with substantially less volume than was used to build it if load/effort exposure is retained, but exact trained-male thresholds are unknown.","Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0018,protein,How much protein supports hypertrophy?,healthy adult natural males,all,all,Approximately 1.6 g/kg/day covers the average response plateau; up to about 2.2 g/kg/day is a conservative high-end target.,1.6,2.2,g_per_kg_body_weight_per_day,1.6-2.2 g_per_kg_body_weight_per_day,stu_0016|stu_0017,,mixed,high,high,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,Approximately 1.6 g/kg/day covers the average response plateau; up to about 2.2 g/kg/day is a conservative high-end target.,"Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0019,protein_deficit,How much protein supports retention during a cut?,lean resistance-trained natural males in a deficit,all,all,Protein needs may rise with leanness and deficit severity; use body weight for ordinary cuts and fat-free-mass scaling for very lean athletes.,1.8,2.4,g_per_kg_body_weight_per_day,1.8-2.4 g/kg body weight/day; review-based alternative 2.3-3.1 g/kg FFM/day for lean athletes,stu_0017|stu_0018|stu_0020|stu_0021,,mixed,moderate,moderate,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,Protein needs may rise with leanness and deficit severity; use body weight for ordinary cuts and fat-free-mass scaling for very lean athletes.,"Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0020,protein_distribution,Does protein distribution matter?,healthy adult natural males,all,all,Total daily protein is primary; distributing it across 3-5 meaningful feedings is a practical secondary consideration.,3,5,protein_feedings_per_day,"3-5 feedings, often around 0.3-0.55 g/kg each",stu_0033|stu_0034,,mixed,low,low,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,Total daily protein is primary; distributing it across 3-5 meaningful feedings is a practical secondary consideration.,"Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0021,energy_deficit,How large should a deficit be when retaining or gaining muscle matters?,resistance-training-eligible natural males,all,all,"Avoid unnecessarily large sustained deficits; around 500 kcal/day was associated with prevented lean-mass gains on average, but retention remains possible with training and protein.",10,25,percent_below_maintenance,Often 10-25% below maintenance; use the lower end when leaner or advanced,stu_0019|stu_0020|stu_0021,,mixed,high,moderate,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,"Avoid unnecessarily large sustained deficits; around 500 kcal/day was associated with prevented lean-mass gains on average, but retention remains possible with training and protein.","Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0022,weight_loss_rate,What rate of loss balances fat loss and retention?,natural males performing resistance training,all,all,"Use a slower rate as the trainee becomes leaner, more advanced, or more performance-sensitive.",0.5,1,percent_body_weight_per_week,About 0.5-1.0%/week for higher-fat or novice males; roughly 0.25-0.75%/week when lean/trained,stu_0018|stu_0019,,mixed,moderate,moderate,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,"Use a slower rate as the trainee becomes leaner, more advanced, or more performance-sensitive.","Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0023,recomposition,Who is most likely to recomp?,natural adult males,all,all,"Untrained, detrained, novice, higher-body-fat, and previously under-proteined males have the highest probability; advanced lean males should expect small or absent changes.",,,,No defensible universal numeric range,stu_0021|stu_0023,,mixed,low,moderate,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,"Untrained, detrained, novice, higher-body-fat, and previously under-proteined males have the highest probability; advanced lean males should expect small or absent changes.","Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0024,surplus,How large should a gaining surplus be?,natural adult males,all,all,Use the smallest surplus that produces a credible upward weight trend and productive training; larger surpluses increasingly add fat rather than guaranteed muscle.,5,15,percent_above_maintenance,Often 5-15%; advanced males should generally use the lower end,stu_0022|stu_0036,,mixed,low,low,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,Use the smallest surplus that produces a credible upward weight trend and productive training; larger surpluses increasingly add fat rather than guaranteed muscle.,"Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0025,weight_gain_rate,What rate of weight gain balances muscle and fat?,natural adult males,all,all,"Target gain rate should decline with training age; treat scale change as a control signal, not a direct measure of muscle growth.",0.1,0.5,percent_body_weight_per_week,Novice 0.25-0.5%; intermediate 0.15-0.3%; advanced 0.1-0.25% body weight/week,stu_0022|stu_0036,,mixed,low,low,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,"Target gain rate should decline with training age; treat scale change as a control signal, not a direct measure of muscle growth.","Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0026,deficit_training,Should training volume drop during a deficit?,resistance-trained natural males in a deficit,all,all,"Do not pre-emptively slash volume; retain enough hard work to preserve performance, then reduce low-value sets if recovery or performance deteriorates.",0,30,percent_set_reduction_if_needed,0-30 percent_set_reduction_if_needed,stu_0020,,mixed,moderate,moderate,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,"Do not pre-emptively slash volume; retain enough hard work to preserve performance, then reduce low-value sets if recovery or performance deteriorates.","Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0027,advanced_methods,Are advanced set systems superior?,recreationally trained natural males,all,all,Advanced set systems are mainly time-efficiency or variety tools; they are not reliably superior to traditional sets for hypertrophy.,,,,No defensible universal numeric range,stu_0014,,mixed,moderate,moderate,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,Advanced set systems are mainly time-efficiency or variety tools; they are not reliably superior to traditional sets for hypertrophy.,"Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
